locus_id	gene	spearman_r	pvalue	padj
LNC_L00038	NUTM2E	0.5057185306629937	0.011698430865039878	0.4728630956734258
LNC_L00038	RNF182	-0.5593051219890035	0.0044904561096125745	0.36479527389502536
LNC_L00038	INO80	0.609071360463221	0.0015838461730002065	0.2538952045280413
LNC_L00038	DYNC2H1	0.6443313824765323	0.0006781779215400026	0.18142339302344018
LNC_L00038	KDM7A	-0.5973777559007347	0.0020540438303223744	0.27632935799031033
LNC_L00038	PTPN6	-0.5071818731812763	0.011418901820933518	0.47117791395423997
LNC_L00038	TMEM168	0.5171548537835287	0.009656895558557485	0.4515824858961019
LNC_L00038	FXR2	-0.5015808335939328	0.01251947938363438	0.48277567956979567
LNC_L00038	SULT4A1	-0.5020966531091804	0.012414609962014598	0.4816753980643077
LNC_L00038	ZC3H3	0.5464955357580956	0.005725903644507809	0.3886242069283154
LNC_L00038	RNF217	-0.6898689228342696	0.00019153181599575257	0.10573872527454496
LNC_L00037	EFCAB11	0.5124048467540895	0.010465724419771798	0.46180673290237106
LNC_L00037	UBE3D	-0.6478880964764894	0.0006189352909127911	0.17272612769659285
LNC_L00037	WAS	-0.5282991338312533	0.0079605446561005	0.4277064710363328
LNC_L00037	DENND3	0.5131786902784073	0.010330264635783997	0.4609217933134009
LNC_L00037	MAML3	-0.5846571507100428	0.0026956993013357443	0.30934254277623296
LNC_L00037	SLC25A30	-0.5521252873084651	0.0051518160698962	0.38195282424649674
LNC_L00037	LILRB1	0.7047043086144559	0.00012075921527825712	0.08793327634395562
LNC_L00037	SCN2A	-0.5397976079985287	0.006477785267441181	0.40144508431306014
LNC_L00037	RAD51D	0.6478880964764894	0.0006189352909127911	0.17272612769659285
LNC_L00037	MFNG	0.5040147850948644	0.012030961658682237	0.477080372869714
LNC_L00037	MPND	0.5056876542319616	0.011704389096739879	0.4728630956734258
LNC_L00037	TIGD6	0.5051687677178446	0.011804893455340047	0.4732257561955319
LNC_L00037	PER2	-0.56110540831426	0.004336325275799051	0.35993213751691727
LNC_L00037	ZNF211	-0.5440147768110173	0.005995369234754863	0.39359000818542395
LNC_L00037	ETNPPL	-0.5181966819185939	0.009486602153510824	0.45048999936285195
LNC_L00037	NME5	-0.5250679850675181	0.008424645089772951	0.4362948135270825
LNC_L00037	GPX8	0.556320598638242	0.004756124697573145	0.36923703751954173
LNC_L00037	SELPLG	-0.5231508890018636	0.00871047319132214	0.439897052979209
LNC_L00037	MRPS34	-0.5007759289694484	0.012684576550457854	0.48277567956979567
LNC_L00037	DPYD	0.5037753767138258	0.012078306007291416	0.4771809083394678
LNC_L00037	OSBP2	0.643052164359428	0.0007006496620798884	0.18507726922864975
LNC_L00037	CYB5R2	0.5311734267543496	0.0075657653306948226	0.420832702635417
LNC_L00037	HLF	-0.5488556871651123	0.005479028956621914	0.3829122509297599
