locus_id	cluster	cluster_size
LNC_L00267	19	25
LNC_L00268	19	25
LNC_L00269	8	7
LNC_L00270	20	15
LNC_L00271	35	25
LNC_L00272	34	13
LNC_L00273	5	3
LNC_L00275	19	25
LNC_L00276	17	7
LNC_L00277	15	14
LNC_L00279	10	20
LNC_L00280	9	7
LNC_L00281	23	4
LNC_L00282	15	14
LNC_L00284	18	8
LNC_L00285	34	13
LNC_L00286	15	14
LNC_L00287	19	25
LNC_L00288	34	13
LNC_L00290	33	5
LNC_L00291	31	13
LNC_L00292	31	13
LNC_L00293	29	11
LNC_L00294	21	8
LNC_L00295	34	13
LNC_L00296	27	9
LNC_L00297	8	7
LNC_L00298	19	25
LNC_L00299	2	14
LNC_L00300	31	13
LNC_L00302	32	12
LNC_L00304	32	12
LNC_L00305	32	12
LNC_L00306	10	20
LNC_L00307	30	4
LNC_L00308	13	3
LNC_L00309	22	9
LNC_L00310	19	25
LNC_L00311	20	15
LNC_L00313	4	4
LNC_L00314	20	15
LNC_L00316	6	4
LNC_L00317	34	13
LNC_L00318	10	20
LNC_L00319	32	12
LNC_L00320	9	7
LNC_L00321	20	15
LNC_L00322	11	6
LNC_L00323	11	6
LNC_L00324	17	7
LNC_L00326	30	4
LNC_L00328	2	14
LNC_L00329	10	20
LNC_L00330	1	2
LNC_L00331	2	14
LNC_L00332	21	8
LNC_L00333	23	4
LNC_L00334	35	25
LNC_L00335	8	7
LNC_L00336	12	7
