"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051302","regulation of cell division","2/7","190/18860",0.0105263157894737,28.3609022556391,7.30387231982367,0.00205077212743491,0.0277586655820654,0.0124125681397376,"PTCH1/MYC",2
"GO:0060538","skeletal muscle organ development","2/7","197/18860",0.0101522842639594,27.3531544597534,7.16461914195676,0.00220234368388147,0.0283821275148398,0.0126913554503241,"DISP1/MYC",2
"GO:0061138","morphogenesis of a branching epithelium","2/7","199/18860",0.0100502512562814,27.0782483847811,7.12616076533605,0.00224660639959154,0.0283821275148398,0.0126913554503241,"PTCH1/MYC",2
"GO:0001763","morphogenesis of a branching structure","2/7","214/18860",0.00934579439252336,25.1802403204272,6.85476824388213,0.00259206806836289,0.0316901225132108,0.0141705588796749,"PTCH1/MYC",2
"GO:0009612","response to mechanical stimulus","2/7","228/18860",0.0087719298245614,23.6340852130326,6.62550138084751,0.00293585638046823,0.0347715490061707,0.0155484499097166,"PTCH1/MYC",2
"GO:0001840","neural plate development","1/7","10/18860",0.1,269.428571428571,16.360296843818,0.00370624885622695,0.0379640085543247,0.0169759904936711,"PTCH1",1
"GO:0001866","NK T cell proliferation","1/7","10/18860",0.1,269.428571428571,16.360296843818,0.00370624885622695,0.0379640085543247,0.0169759904936711,"MYC",1
"GO:0070303","negative regulation of stress-activated protein kinase signaling cascade","1/7","10/18860",0.1,269.428571428571,16.360296843818,0.00370624885622695,0.0379640085543247,0.0169759904936711,"MYC",1
"GO:0072205","metanephric collecting duct development","1/7","10/18860",0.1,269.428571428571,16.360296843818,0.00370624885622695,0.0379640085543247,0.0169759904936711,"PTCH1",1
"GO:0090184","positive regulation of kidney development","1/7","10/18860",0.1,269.428571428571,16.360296843818,0.00370624885622695,0.0379640085543247,0.0169759904936711,"MYC",1
"GO:0035457","cellular response to interferon-alpha","1/7","11/18860",0.0909090909090909,244.935064935065,15.5935334129267,0.00407622531553775,0.0406549840681265,0.0181792874183263,"MYC",1
"GO:1904672","regulation of somatic stem cell population maintenance","1/7","12/18860",0.0833333333333333,224.523809523809,14.9245035454118,0.00444608400421043,0.0424764020896014,0.0189937529132782,"MYC",1
"GO:0051054","positive regulation of DNA metabolic process","2/7","283/18860",0.00706713780918728,19.0408884401817,5.89225406483502,0.00448299758201598,0.0424764020896014,0.0189937529132782,"MYC/UBE2N",2
"GO:0040015","negative regulation of multicellular organism growth","1/7","13/18860",0.0769230769230769,207.252747252747,14.3340336400837,0.00481582495348731,0.0445170160334559,0.0199062340824508,"PTCH1",1
"GO:0071679","commissural neuron axon guidance","1/7","14/18860",0.0714285714285714,192.448979591837,13.8078352602075,0.00518544819460365,0.0446655651307905,0.0199726593141432,"PTCH1",1
"GO:0072075","metanephric mesenchyme development","1/7","14/18860",0.0714285714285714,192.448979591837,13.8078352602075,0.00518544819460365,0.0446655651307905,0.0199726593141432,"MYC",1
"GO:1900044","regulation of protein K63-linked ubiquitination","1/7","14/18860",0.0714285714285714,192.448979591837,13.8078352602075,0.00518544819460365,0.0446655651307905,0.0199726593141432,"UBE2N",1
"GO:0072044","collecting duct development","1/7","15/18860",0.0666666666666667,179.619047619048,13.3350130350425,0.00555495375878923,0.0457679885778504,0.0204656191113287,"PTCH1",1
"GO:1901722","regulation of cell proliferation involved in kidney development","1/7","15/18860",0.0666666666666667,179.619047619048,13.3350130350425,0.00555495375878923,0.0457679885778504,0.0204656191113287,"MYC",1
"GO:0001822","kidney development","2/7","323/18860",0.00619195046439629,16.6828836797877,5.47804472887103,0.00580102021507392,0.045912505855242,0.0205302414739452,"PTCH1/MYC",2
"GO:0044027","negative regulation of gene expression via chromosomal CpG island methylation","1/7","16/18860",0.0625,168.392857142857,12.9070942754591,0.00592434167726585,0.045912505855242,0.0205302414739452,"MYC",1
"GO:0072001","renal system development","2/7","334/18860",0.00598802395209581,16.1334473909324,5.37697963212881,0.00619137911249413,0.045912505855242,0.0205302414739452,"PTCH1/MYC",2
"GO:0021904","dorsal/ventral neural tube patterning","1/7","17/18860",0.0588235294117647,158.487394957983,12.5173775716328,0.006293611981249,0.045912505855242,0.0205302414739452,"PTCH1",1
"GO:0072074","kidney mesenchyme development","1/7","17/18860",0.0588235294117647,158.487394957983,12.5173775716328,0.006293611981249,0.045912505855242,0.0205302414739452,"MYC",1
"GO:0060562","epithelial tube morphogenesis","2/7","344/18860",0.00581395348837209,15.6644518272425,5.28919507606885,0.00655657513826867,0.045912505855242,0.0205302414739452,"PTCH1/MYC",2
"GO:0050910","detection of mechanical stimulus involved in sensory perception of sound","1/7","18/18860",0.0555555555555556,149.68253968254,12.1604834243765,0.00666276470194804,0.045912505855242,0.0205302414739452,"MYC",1
"GO:0060644","mammary gland epithelial cell differentiation","1/7","18/18860",0.0555555555555556,149.68253968254,12.1604834243765,0.00666276470194804,0.045912505855242,0.0205302414739452,"PTCH1",1
"GO:1902916","positive regulation of protein polyubiquitination","1/7","18/18860",0.0555555555555556,149.68253968254,12.1604834243765,0.00666276470194804,0.045912505855242,0.0205302414739452,"UBE2N",1
"GO:0045655","regulation of monocyte differentiation","1/7","20/18860",0.05,134.714285714286,11.528438147459,0.00740071751829663,0.0474943096666023,0.0212375610507512,"MYC",1
