locus_id	SRR31451017	SRR31451018	SRR31451019	SRR31451020	SRR31451021	SRR31451022	SRR31451023	SRR31451024	SRR31451025	SRR31451026	SRR31451027	SRR31451028	SRR31451029	SRR31451030	SRR31451031	SRR31451032	SRR31451033	SRR31451034	SRR31451035	SRR31451036	SRR31451037	SRR31451038	SRR31451039	SRR31451040	SRR31451041	SRR31451042
LNC_L00236	2131.8527904324937	1728.2244258154938	2458.68087272722	1073.8625241733964	2555.922565887653	739.3781348725374	2877.9702618813826	0.0	2138.4117081397276	4772.867832148725	2296.000003863386	1419.3485892668518	504.7929271790398	4524.632937051781	3243.626813116794	3924.639796187258	0.0	0.0	2751.6807390116455	0.0	762.5681323943844	1837.77178772421	664.2606218547488	0.0	1453.9967314392009	2439.2546403293913
LNC_L00237	0.0	864.1122129077469	1639.1205818181468	536.9312620866982	851.9741886292175	2218.1344046176123	0.0	0.0	0.0	0.0	2870.0000048292322	709.6742946334259	504.7929271790398	1292.7522677290806	0.0	784.9279592374517	0.0	1058.8122150352028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LNC_L00238	710.6175968108312	864.1122129077469	0.0	805.3968931300473	5111.845131775306	2957.5125394901506	0.0	1060.0120821435087	3088.8169117573852	1590.9559440495748	0.0	0.0	1514.3787815371195	1292.7522677290806	810.9067032791985	3139.7118369498066	0.0	1058.8122150352028	2751.6807390116455	3199.0763117043	2287.704397183153	1837.77178772421	664.2606218547488	690.5554856103039	1453.9967314392009	1626.169760219594
LNC_L00239	710.6175968108312	5184.673277446482	819.5602909090734	805.3968931300473	851.9741886292175	1478.7562697450753	959.3234206271276	706.6747214290058	1663.2091063308992	0.0	0.0	0.0	1009.5858543580796	0.0	1621.813406558397	0.0	0.0	1058.8122150352028	0.0	799.769077926075	1525.1362647887688	0.0	1328.5212437094976	1381.1109712206078	1453.9967314392009	813.0848801097968
LNC_L00240	0.0	0.0	0.0	0.0	0.0	0.0	959.3234206271276	706.6747214290058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1169.5740776728462	1058.8122150352028	0.0	0.0	762.5681323943844	2756.6576815863154	0.0	2762.2219424412156	2907.9934628784017	0.0
LNC_L00241	6395.55837129748	5184.673277446482	6556.482327272587	5906.24388295368	12779.612829438263	2957.5125394901506	5755.940523762767	2826.698885716023	8078.444230750083	6363.823776198299	2870.0000048292322	6387.068651700834	6057.515126148476	11634.770409561723	6487.253626233587	6279.423673899613	5847.870388364232	5294.061075176013	6420.588391027173	3199.0763117043	10675.95385352138	9188.85893862105	3321.303109273744	3452.777428051519	8723.980388635207	5691.594160768578
LNC_L00242	532.6162163596806	2592.336638723241	3265.964297064603	604.0465332252767	1703.948377258435	2217.9538923776536	6668.739181202031	1576.3740902183456	2130.4814058024645	5139.568506800296	2729.131259045863	1596.7671629252086	2018.0914811777639	646.3761338645403	3240.148154353989	0.7665312101927442	2923.3641130895016	5558.764128934814	1375.8403695058228	803.8784762640346	3042.655699421529	918.885893862105	996.3909327821234	4488.593114540297	10086.94089140387	1219.6273201646952
LNC_L00243	0.0	0.0	0.0	0.0	851.9741886292175	0.0	0.0	353.3373607145029	475.2026018088283	0.0	0.0	0.0	504.7929271790398	646.3761338645403	2432.720109837596	0.0	0.0	2117.624430070405	917.2269130038819	1599.53815585215	0.0	918.885893862105	0.0	0.0	1453.9967314392009	1626.169760219594
LNC_L00244	0.0	864.1122129077469	2458.68087272722	0.0	0.0	0.0	959.3234206271276	353.3373607145029	0.0	0.0	0.0	0.0	504.7929271790398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LNC_L00245	103750.16913438137	150355.52504594796	154896.89498181487	115977.15261072681	124388.2315398658	133088.06427705675	136223.9257290521	125434.76305364854	149926.42087068537	146367.94685256088	141778.0002385641	262579.48901436763	118626.33788707436	147373.75852111515	120825.09878860055	102825.56266010615	111109.5373789204	139763.2123846468	45861.34565019409	97571.82750698116	62530.58685633951	74429.75740283052	83032.57773184362	94606.10152861165	72699.83657196006	87000.08217174826
LNC_L00246	0.0	0.0	0.0	268.4656310433491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1169.5740776728462	0.0	0.0	0.0	0.0	0.0	664.2606218547488	690.5554856103039	0.0	0.0
LNC_L00247	0.0	864.1122129077469	2458.68087272722	1342.3281552167455	0.0	0.0	0.0	353.3373607145029	712.8039027132425	0.0	1148.0000019316929	0.0	1009.5858543580796	0.0	2432.7201098375954	784.9279592374517	0.0	1058.8122150352028	0.0	0.0	762.5681323943844	0.0	0.0	690.5554856103039	1453.9967314392009	1626.1697602195936
LNC_L00249	6750.867169694835	8864.259634784681	11398.853911248681	20924.842222971638	10921.16287284252	13968.809689562315	14377.379240755145	18020.159489631573	18532.9014594399	7464.279881545731	13509.979045511118	18394.75705217721	15648.580676418604	10988.394136843302	9712.138666494975	15759.301513246979	7013.21425669398	7381.705230293253	18344.470728805685	7997.3788990835255	16776.498870278327	20190.039506082147	20581.425668607782	11739.098539629047	14537.650222550546	21129.419107953738
LNC_L00250	1421.2351936216623	4320.561064538734	1639.1205818181468	1342.3281552167455	4259.870943146088	1478.3952452651572	0.0	706.6747214290058	118.80065045220708	3181.9118880991505	1148.0000019316929	0.0	504.7929271790398	0.0	810.9067032791985	784.9279592374517	2339.1481553456924	2117.624430070405	0.0	799.769077926075	0.0	1837.77178772421	1328.5212437094976	690.5554856103039	1453.9967314392009	0.0
LNC_L00251	3908.3967824595716	6912.897703261975	15571.645527272398	5637.77825191033	5111.845131775306	1478.7562697450753	3837.2936825085103	4240.048328574035	2851.21561085297	3181.9118880991505	10332.000017385237	2129.022883900278	9591.065616401756	0.0	5676.346922954389	4709.5677554247095	12865.31485440131	0.0	9172.269130038816	1599.53815585215	762.5681323943844	2756.6576815863154	664.2606218547488	3452.777428051519	0.0	4065.4244005489845
LNC_L00252	710.6175968108312	864.1122129077469	1639.1205818181468	1073.8625241733964	3407.8967545168707	1478.7562697450753	1918.6468412542552	1413.3494428580116	1663.2091063308992	6363.823776198299	1722.0000028975394	709.6742946334259	1009.5858543580796	646.3761338645403	1621.813406558397	0.0	0.0	1058.8122150352028	917.2269130038819	799.769077926075	762.5681323943844	1837.77178772421	1328.5212437094976	1381.1109712206078	0.0	0.0
LNC_L00253	12791.11674259496	16418.132045247192	17210.76610909054	15571.006600514249	25559.225658876527	22920.722181048663	30698.349460068082	25440.28997144421	15444.084558786919	22273.38321669405	17794.00002994124	38322.411910205	20191.717087161593	14220.27494501988	26759.92120821355	31397.118369498065	26900.203786475464	24352.680945809665	15592.857521065987	12796.3052468172	6863.113191549459	10107.744832483155	5978.345596692739	17954.4426258679	21809.950971588012	26831.801043623305
LNC_L00254	0.0	0.0	0.0	536.9312620866982	0.0	739.3781348725374	959.3234206271276	1413.3494428580116	237.60130090441416	0.0	1148.0000019316929	709.6742946334259	504.7929271790398	0.0	0.0	0.0	0.0	2117.624430070405	0.0	799.769077926075	0.0	0.0	0.0	0.0	2907.9934628784017	0.0
LNC_L00255	710.6175968108312	864.1122129077469	819.5602909090734	268.4656310433491	0.0	739.3781348725374	0.0	353.3373607145029	475.2026018088283	0.0	1148.0000019316929	709.6742946334259	1009.5858543580796	0.0	810.9067032791985	0.0	0.0	3176.436645105608	917.2269130038819	799.769077926075	762.5681323943844	1837.77178772421	1328.5212437094976	1381.1109712206078	1453.9967314392009	813.0848801097968
LNC_L00257	11014.568411885952	8639.390152655353	6556.482066451683	10195.187429720407	6812.090495188349	18484.45328501937	13430.527840843022	11660.13163955051	3074.9935519776714	7954.774865035642	1863.1038981682195	6387.026055068327	6559.7180253020815	15423.519390824598	5671.003726685039	10309.948684541401	9326.690967565093	12704.912406335292	9171.834275219937	18394.68104908242	3812.691722883564	13783.28689457626	21251.804251370773	4143.332913661823	7269.983508306741	11383.16475272273
LNC_L00258	355.3087984054156	0.0	0.0	536.9312620866982	1703.948377258435	0.0	0.0	0.0	237.60130090441416	1590.9559440495748	574.0000009658465	0.0	0.0	0.0	0.0	2354.7838777123548	0.0	0.0	0.0	0.0	0.0	0.0	664.2606218547488	0.0	0.0	0.0
LNC_L00259	0.0	0.0	0.0	536.9312620866982	851.9741886292175	0.0	0.0	1060.0120821435087	237.60130090441416	3181.9118880991505	0.0	1419.3485892668518	0.0	646.3761338645403	810.9067032791985	3924.639796187258	0.0	2117.6244300704057	0.0	0.0	762.5681323943844	0.0	1328.5212437094976	0.0	2907.9934628784017	1626.169760219594
LNC_L00260	0.0	0.0	2458.68087272722	0.0	0.0	0.0	1918.6468412542552	353.3373607145029	237.60130090441416	1590.9559440495748	1148.0000019316929	0.0	504.7929271790398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LNC_L00262	355.3087984054156	0.0	3278.2411636362935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	784.9279592374517	0.0	0.0	0.0	799.769077926075	0.0	0.0	0.0	0.0	0.0	0.0
